448370.424745:25.48470000177622:29.082000017166138  page-blocks0-10-3tra.dat
449826.8932436111:53.594616666436195:35.67700004577637  page-blocks0-10-7tra.dat
449880.9325072222:55.95043333247304:57.026000022888184  page-blocks0-10-7tra.dat
449887.76601333334:45.960799999535084:57.64800000190735  page-blocks0-10-7tra.dat
449899.08932416665:05.359449997544289:21.566999912261963  page-blocks0-10-7tra.dat
449906.6295963889:37.77578333392739:46.54699993133545  page-blocks0-10-7tra.dat
449940.8644233334:51.86540000140667:51.92400002479553  page-blocks0-10-7tra.dat
449948.4444869445:26.66921667009592:40.15300011634827  page-blocks0-10-7tra.dat
450250.62884666666:37.73079999908805:43.848000049591064  page-blocks0-10-7tra.dat
450674.80227972224:48.136783335357904:08.207000017166138  page-blocks0-10-1tra.dat
